,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
467,468,454,中国大唐集团公司（CHINA DATANG),25299.2,341.7,中国
468,469,--,波兰国营石油公司（PKN ORLEN GROUP),25256.1,1762.5,波兰
469,470,487,Ultrapar控股公司（ULTRAPAR HOLDINGS),25064.6,493.2,巴西
470,471,--,KB金融集团（KB FINANCIAL GROUP),25052.4,2929.5,韩国
471,472,409,Achmea公司（ACHMEA),24872.0,242.4,荷兰
472,473,425,梅西百货（MACY'S),24837.0,1547,美国
473,474,480,阿联酋航空集团（EMIRATES GROUP),24836.9,761.2,阿拉伯联合酋长国
474,475,468,喜力控股公司（HEINEKEN HOLDING),24831.4,1101.3,荷兰
475,476,--,森科能源公司（SUNCOR ENERGY),24793.4,3435.1,加拿大
476,477,--,巴登-符滕堡州能源公司（ENERGIE BADEN-WÜRTTEMBERG),24769.4,2315.4,德国
477,478,466,米其林公司（MICHELIN),24753.7,1916.3,法国
478,479,--,富邦金融控股股份有限公司（FUBON FINANCIAL HOLDING),24688.3,1778.9,中国
479,480,--,阿迪达斯集团（ADIDAS),24669.1,1236.6,德国
480,481,476,山西晋城无烟煤矿业集团有限责任公司（SHANXI JINCHENG ANTHRACITE COAL MINING),24658.7,57.3,中国
481,482,457,贺利氏控股集团（HERAEUS HOLDING),24622.3,-,德国
482,483,479,LG DISPLAY公司（LG DISPLAY),24584.6,1594.8,韩国
483,484,--,DXC Technology公司（DXC TECHNOLOGY),24556.0,1751,美国
484,485,405,澳大利亚国民银行（NATIONAL AUSTRALIA BANK),24549.8,4023.8,澳大利亚
485,486,123,Ceconomy公司（CECONOMY),24432.1,1215.3,德国
486,487,--,Fomento Económico Mexicano公司（FOMENTO ECONÓMICO MEXICANO),24340.8,2241.8,墨西哥
487,488,475,US Foods Holding公司（US FOODS HOLDING),24147.2,444.3,美国
488,489,--,泰康保险集团（TAIKANG INSURANCE GROUP),24058.3,1683.2,中国
489,490,481,美国合众银行（U.S. BANCORP),23996.0,6218,美国
490,491,--,德国勃林格殷格翰公司（BOEHRINGER INGELHEIM),23888.0,-258.1,德国
491,492,472,荷兰合作银行（RABOBANK),23812.4,1701,荷兰
492,493,--,CJ集团（CJ CORP.),23795.8,410.2,韩国
493,494,445,山西阳泉煤业(集团)有限责任公司（YANGQUAN COAL INDUSTRY GROUP),23792.8,-117.1,中国
494,495,448,潞安集团（SHANXI LUAN MINING GROUP),23784.5,0.5,中国
495,496,--,河南能源化工集团（HENAN ENERGY & CHEMICAL),23699.4,-68.6,中国
496,497,430,大同煤矿集团有限责任公司（DATONG COAL MINE GROUP),23697.5,66.8,中国
497,498,452,BAE系统公司（BAE SYSTEMS),23591.6,1099.6,英国
498,499,--,青岛海尔（QINGDAO HAIER),23563.2,1024.7,中国
499,500,419,爱立信公司（ERICSSON),23556.3,-4119.8,瑞典
