,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
233,234,372,山东能源集团有限公司（SHANDONG ENERGY GROUP),45649.5,489.3,中国
234,235,268,恒力集团（HENGLI GROUP),45562.8,1016,中国
235,236,219,日本KDDI电信公司（KDDI),45507.6,5167.5,日本
236,237,230,兴业银行（INDUSTRIAL BANK),45491.0,8463.3,中国
237,238,264,卡特彼勒（CATERPILLAR),45462.0,754,美国
238,239,221,河钢集团（HBIS GROUP),45390.2,-119.2,中国
239,240,226,联想集团（LENOVO GROUP),45349.9,-189.3,中国
240,241,250,宏利金融（MANULIFE FINANCIAL),44941.1,1621.2,加拿大
241,242,101,中国兵器装备集团公司（CHINA SOUTH INDUSTRIES GROUP),44785.4,739.6,中国
242,243,259,中国建材集团（CHINA NATIONAL BLDG. MATERIAL GROUP),44701.2,15.2,中国
243,244,246,韩华集团（HANWHA),44590.3,358.6,韩国
244,245,233,中国船舶重工集团公司（CHINA SHIPBUILDING INDUSTRY),44431.0,716.3,中国
245,246,249,三井物产株式会社（MITSUI),44155.3,3777.1,日本
246,247,254,美国全国保险公司（NATIONWIDE),43939.9,246.5,美国
247,248,239,丰益国际（WILMAR INTERNATIONAL),43846.3,1219.3,新加坡
248,249,267,摩根士丹利（MORGAN STANLEY),43642.0,6111,美国
249,250,282,住友商事（SUMITOMO),43570.2,2784.6,日本
250,251,251,中国民生银行（CHINA MINSHENG BANKING),43297.5,7370.3,中国
251,252,277,绿地控股集团有限公司（GREENLAND HOLDING GROUP),42970.1,1337.2,中国
252,253,289,印尼国家石油公司（PERTAMINA),42959.3,2540.2,印度尼西亚
253,254,231,意昂集团（E.ON),42794.7,4424.3,德国
254,255,265,美国利宝互助保险集团（LIBERTY MUTUAL INSURANCE GROUP),42687.0,17,美国
255,256,334,中国机械工业集团有限公司（SINOMACH),42638.1,471.8,中国
256,257,220,瑞士再保险股份有限公司（SWISS RE),42487.0,398,瑞士
257,258,243,美国纽约人寿保险公司（NEW YORK LIFE INSURANCE),42296.0,1866.9,美国
258,259,271,高盛（GOLDMAN SACHS GROUP),42254.0,4286,美国
259,260,253,美国航空集团（AMERICAN AIRLINES GROUP),42207.0,1919,美国
260,261,258,百思买（BEST BUY),42151.0,1000,美国
261,262,306,雷普索尔公司（REPSOL),41862.5,2390.8,西班牙
262,263,256,信诺（CIGNA),41616.0,2237,美国
263,264,376,特许通讯公司（CHARTER COMMUNICATIONS),41581.0,9895,美国
264,265,269,南苏格兰电力（SSE),41382.8,1088.8,英国
265,266,257,达美航空（DELTA AIR LINES),41244.0,3577,美国
266,267,343,浙江吉利控股集团（ZHEJIANG GEELY HOLDING GROUP),41171.9,1820.3,中国
267,268,263,采埃孚（ZF FRIEDRICHSHAFEN),41080.2,1221.9,德国
268,269,--,麦德龙（METRO),40957.2,358.4,德国
269,270,348,物产中大集团（WUCHAN ZHONGDA GROUP),40928.6,330.7,中国
270,271,240,赛诺菲（SANOFI),40809.7,9506.9,法国
271,272,441,布鲁克菲尔德资产管理公司（BROOKFIELD ASSET MANAGEMENT),40786.0,1462,加拿大
272,273,241,中国联合网络通信股份有限公司（CHINA UNITED NETWORK COMMUNICATIONS),40663.5,63,中国
273,274,393,Facebook公司（FACEBOOK),40653.0,15934,美国
274,275,260,霍尼韦尔国际公司（HONEYWELL INTERNATIONAL),40534.0,1655,美国
275,276,255,默沙东（MERCK),40122.0,2394,美国
276,277,303,汉莎集团（LUFTHANSA GROUP),40105.2,2664.7,德国
277,278,316,力拓集团（RIO TINTO GROUP),40030.0,8762,英国
278,279,262,三菱电机股份有限公司（MITSUBISHI ELECTRIC),39994.9,2453.9,日本
279,280,--,招商局集团（CHINA MERCHANTS GROUP),39970.8,4039.4,中国
280,281,299,沙特基础工业公司（SABIC),39939.1,4914.9,沙特阿拉伯
281,282,266,加拿大鲍尔集团（POWER CORP. OF CANADA),39493.2,1031,加拿大
282,283,279,怡和集团（JARDINE MATHESON),39456.0,3785,中国
283,284,281,西班牙ACS集团（ACS),39337.8,904,西班牙
284,285,296,和硕（PEGATRON),39237.6,482.6,中国
285,286,301,沃尔沃集团（VOLVO),39171.9,2455.2,瑞典
286,287,290,麦格纳国际（MAGNA INTERNATIONAL),38946.0,2206,加拿大
287,288,326,陕西延长石油（集团）有限责任公司（SHAANXI YANCHANG PETROLEUM),38897.8,166.8,中国
288,289,274,中国华能集团公司（CHINA HUANENG GROUP),38872.0,215.6,中国
289,290,273,英国葛兰素史克公司（GLAXOSMITHKLINE),38867.8,1972.6,英国
290,291,302,Talanx公司（TALANX),38602.6,757.5,德国
291,292,304,加拿大皇家银行（ROYAL BANK OF CANADA),38551.2,8735.6,加拿大
292,293,288,好事达（ALLSTATE),38524.0,3189,美国
293,294,337,陕西煤业化工集团（SHAANXI COAL & CHEMICAL INDUSTRY),38482.6,73.6,中国
294,295,383,友邦保险集团（AIA GROUP),38330.0,6120,中国
295,296,350,必和必拓（BHP BILLITON),38285.0,5890,澳大利亚
296,297,283,泰森食品（TYSON FOODS),38260.0,1774,美国
297,298,335,费森尤斯集团（FRESENIUS),38196.8,2044.8,德国
298,299,311,Alimentation Couche-Tard公司（ALIMENTATION COUCHE-TARD),37904.5,1208.9,加拿大
299,300,462,阿里巴巴集团（ALIBABA GROUP HOLDING),37770.8,9673.1,中国
300,301,287,美国联合大陆控股有限公司（UNITED CONTINENTAL HOLDINGS),37736.0,2131,美国
301,302,280,甲骨文公司（ORACLE),37728.0,9335,美国
302,303,310,森宝利（SAINSBURY (J.)),37711.3,409.5,英国
303,304,285,意大利邮政集团（POSTE ITALIANE),37695.2,776.7,意大利
304,305,298,马士基集团（MAERSK GROUP),37500.0,-1205,丹麦
305,306,291,瑞银集团（UBS GROUP),37317.3,1069.8,瑞士
306,307,300,法国布伊格集团（BOUYGUES),37259.0,1223,法国
307,308,293,乔治威斯顿公司（WESTON (GEORGE)),37211.6,584.9,加拿大
308,309,297,日本明治安田生命保险公司（MEIJI YASUDA LIFE INSURANCE),37159.7,2392.2,日本
309,310,309,德国艾德卡公司（EDEKA ZENTRALE),37125.4,345,德国
310,311,294,日本三菱重工业股份有限公司（MITSUBISHI HEAVY INDUSTRIES),37103.2,636.2,日本
311,312,341,中国保利集团（CHINA POLY GROUP),37001.9,1152.6,中国
312,313,237,富士通（FUJITSU),36990.9,1528.4,日本
313,314,360,巴拉特石油公司（BHARAT PETROLEUM),36851.1,1397.5,印度
314,315,412,Tech Data公司（TECH DATA),36775.0,116.6,美国
315,316,305,埃森哲（ACCENTURE),36765.5,3445.1,爱尔兰
316,317,347,佳能（CANON),36388.4,2157.6,日本
317,318,286,英国森特理克集团（CENTRICA),36082.7,428.8,英国
318,319,278,美国教师退休基金会（TIAA),36025.3,1049.7,美国
319,320,317,法国国家铁路公司（SNCF),35880.4,1280.5,法国
320,321,321,TJX公司（TJX),35864.7,2607.9,美国
321,322,329,中国光大集团（CHINA EVERBRIGHT GROUP),35840.2,1895.1,中国
322,323,450,美的集团股份有限公司（MIDEA GROUP),35794.2,2557.3,中国
323,324,292,意大利联合圣保罗银行（INTESA SANPAOLO),35751.9,8246.7,意大利
324,325,370,巴西淡水河谷公司（VALE),35713.0,5507,巴西
325,326,--,东芝（TOSHIBA),35630.0,7256.8,日本
326,327,315,美国运通公司（AMERICAN EXPRESS),35583.0,2736,美国
327,328,235,可口可乐公司（COCA-COLA),35410.0,1248,美国
328,329,324,爱信精机（AISIN SEIKI),35281.1,1214.4,日本
329,330,332,Iberdrola公司（IBERDROLA),35240.4,3160.7,西班牙
330,331,478,腾讯控股有限公司（TENCENT HOLDINGS),35178.8,10580.6,中国
331,332,307,万科企业股份有限公司（CHINA VANKE),35117.4,4150.5,中国
332,333,312,中国能源建设集团有限公司（CHINA ENERGY ENGINEERING),35048.3,371.7,中国
333,334,308,大众超级市场公司（PUBLIX SUPER MARKETS),34836.8,2291.9,美国
334,335,366,中国远洋海运集团有限公司（CHINA COSCO SHIPPING),34667.8,1404.3,中国
335,336,284,巴克莱（BARCLAYS),34506.6,-1652,英国
336,337,351,多伦多道明银行（TORONTO-DOMINION BANK),34500.6,7946.7,加拿大
337,338,374,利安德巴塞尔工业公司（LYONDELLBASELL INDUSTRIES),34484.0,4879,荷兰
338,339,205,来宝集团（NOBLE GROUP),34420.8,-4938.2,中国
339,340,331,耐克公司（NIKE),34350.0,4240,美国
340,341,314,瑞士ABB集团（ABB),34312.0,2213,瑞士
341,342,330,大和房建（DAIWA HOUSE INDUSTRY),34261.7,2133.3,日本
342,343,336,中国航天科技集团公司（CHINA AEROSPACE SCIENCE & TECHNOLOGY),34253.6,2225.2,中国
343,344,453,Andeavor公司（ANDEAVOR),34204.0,1528,美国
344,345,416,Enbridge公司（ENBRIDGE),34195.7,2203,加拿大
345,346,355,中国航天科工集团公司（CHINA AEROSPACE SCIENCE & INDUSTRY),34073.0,1607.1,中国
346,347,340,损保控股有限公司（SOMPO HOLDINGS),34027.5,1262,日本
347,348,373,铃木汽车（SUZUKI MOTOR),33911.7,1947.1,日本
348,349,333,澳洲联邦银行（COMMONWEALTH BANK),33886.9,7484.7,澳大利亚
349,350,242,住友生命保险公司（SUMITOMO LIFE INSURANCE),33820.7,630.3,日本
350,351,402,全球燃料服务公司（WORLD FUEL SERVICES),33695.5,-170.2,美国
351,352,349,三菱化学控股（MITSUBISHI CHEMICAL HOLDINGS),33615.5,1911.5,日本
352,353,467,碧桂园控股有限公司（COUNTRY GARDEN HOLDINGS),33572.0,3856.3,中国
353,354,390,广达电脑公司（QUANTA COMPUTER),33563.8,472.2,中国
354,355,327,德国中央合作银行（DZ BANK),33562.8,1078.7,德国
355,356,344,Exelon公司（EXELON),33531.0,3770,美国
356,357,270,万通互惠理财（MASSACHUSETTS MUTUAL LIFE),33495.4,513,美国
357,358,356,日本钢铁工程控股公司（JFE HOLDINGS),33202.2,1305.5,日本
358,359,320,冀中能源集团（JIZHONG ENERGY GROUP),33187.8,-141.5,中国
359,360,494,厦门国贸控股集团有限公司（XIAMEN ITG HOLDING GROUP),32901.6,106.3,中国
360,361,--,雪松控股集团（CEDAR HOLDINGS GROUP),32711.5,1068.1,中国
361,362,488,厦门建发集团有限公司（XIAMEN C&D),32588.4,305.1,中国
362,363,444,康菲石油公司（CONOCOPHILLIPS),32584.0,-855,美国
363,364,365,江苏沙钢集团（JIANGSU SHAGANG GROUP),32560.5,1061.8,中国
364,365,353,普利司通（BRIDGESTONE),32494.6,2571,日本
365,366,342,安达保险公司（CHUBB),32243.0,3861,瑞士
366,367,357,日本瑞穗金融集团（MIZUHO FINANCIAL GROUP),32141.8,5203.8,日本
367,368,369,台积电（TAIWAN SEMICONDUCTOR),32126.4,11339.3,中国
368,369,362,中国电子信息产业集团有限公司（CHINA ELECTRONICS),31990.4,166.8,中国
369,370,339,江西铜业集团公司（JIANGXI COPPER),31964.1,113.5,中国
370,371,439,中国航空油料集团公司（CHINA NATIONAL AVIATION FUEL GROUP),31942.2,401.6,中国
371,372,359,CHS公司（CHS),31934.8,127.9,美国
372,373,354,瑞士信贷（CREDIT SUISSE GROUP),31900.3,-998.7,瑞士
373,374,319,长江和记实业有限公司（CK HUTCHISON HOLDINGS),31892.4,4504.5,中国
374,375,--,象屿集团（XIAMEN XIANGYU GROUP),31676.4,147.2,中国
375,376,361,3M公司（3M),31657.0,4858,美国
376,377,346,英国电信集团（BT GROUP),31438.9,2692.9,英国
377,378,367,马自达汽车株式会社（MAZDA MOTOR),31355.7,1011.4,日本
378,379,371,时代华纳（TIME WARNER),31271.0,5247,美国
379,380,323,现代摩比斯公司（HYUNDAI MOBIS),31090.6,1387.3,韩国
380,381,322,新兴际华集团（XINXING CATHAY INTERNATIONAL),31078.2,440,中国
381,382,363,CRH公司（CRH),31069.4,2136.1,爱尔兰
382,383,345,通用动力（GENERAL DYNAMICS),30973.0,2912,美国
383,384,352,斯巴鲁公司（SUBARU),30734.7,1988.9,日本
384,385,318,中国中车股份有限公司（CRRC),30634.1,1597.7,中国
385,386,388,斯伦贝谢公司（SCHLUMBERGER),30440.0,-1505,美国
386,387,325,来德爱（RITE AID),30215.4,943.5,美国
387,388,400,中国电子科技集团公司（CHINA ELECTRONICS TECHNOLOGY GROUP),30175.5,1774.3,中国
388,389,272,江森自控国际公司（JOHNSON CONTROLS INTERNATIONAL),30172.0,1611,爱尔兰
