,0,1,2
154,154,珠海格力电器股份有限公司,9774514
155,155,中国东方航空集团公司,9706848
156,156,上海电气（集团）总公司,9652138
157,157,安徽海螺集团有限责任公司,9307035
158,158,红云红河烟草（集团）有限责任公司,9287350
159,159,武汉商联（集团）股份有限公司,9132400
160,160,太原钢铁（集团）有限公司,9083529
161,161,山东省商业集团有限公司,9070000
162,162,广厦控股集团有限公司,8971015
163,163,北京银行,8787567
164,164,青山控股集团有限公司,8768949
165,165,山西煤炭进出口集团有限公司,8524164
166,166,广西投资集团有限公司,8516053
167,167,南山集团有限公司,8222167
168,168,中国中煤能源集团有限公司,8204392
169,169,盛虹控股集团有限公司,8180421
170,170,湖北宜化集团有限责任公司,8103725
171,171,潍柴控股集团有限公司,8065115
172,172,浙江荣盛控股集团有限公司,8060568
173,173,北大方正集团有限公司,8051129
174,174,浙江省兴合集团有限责任公司,8019763
175,175,比亚迪股份有限公司,8000897
176,176,协鑫(集团)控股有限公司,7978687
177,177,浙江恒逸集团有限公司,7940567
178,178,浙江中烟工业有限责任公司,7861183
179,179,杭州钢铁集团公司,7769455
180,180,晋能集团有限公司,7702583
181,181,本钢集团有限公司,7700058
182,182,陕西东岭工贸集团股份有限公司,7611371
183,183,长城汽车股份有限公司,7603314
184,184,中国华融资产管理股份有限公司,7538576
185,185,三一集团有限公司,7505031
186,186,超威电源有限公司,7497736
187,187,广州医药集团有限公司,7485668
188,188,紫金矿业集团股份有限公司,7430357
189,189,徐州工程机械集团有限公司*,7394093
190,190,中国中材集团有限公司,7296911
191,191,天能电池集团有限公司,7239327
192,192,西安迈科金属国际集团有限公司,7100414
193,193,清华控股有限公司,7053898
194,194,北京控股集团有限公司,7043436
195,195,广西建工集团有限责任公司,7008182
196,196,南通三建控股有限公司,6882735
197,197,新希望集团有限公司,6824439
198,198,山东黄金集团有限公司,6819803
199,199,陕西建工集团有限公司,6810634
200,200,河北新华联合冶金控股集团有限公司,6797096
